,ids,tweets,TRU,DIS,JOY,SAD,ANT,SUR,ANG,FEA,NEUTRAL,conf_tru_dis,conf_joy_sad,conf_ant_sur,conf_ang_fea,num_annot
0,441014389496619009l,"#VALE5 - Análise #Ichimoku - pregão de sexta-feira, 28 de fevereiro. http://t.co/kEreB1xgU4",0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,0.667,3
1,441020223408578560l,"#PETR4 - Análise #Ichimoku - pregão de sexta-feira, 28 de fevereiro. http://t.co/oAHK5pB3e0",0,0,0,0,0,0,0,0,1,0.667,1.0,1.0,1.0,3
2,441028254942502912l,"as nuvens do ichimoku: PETR4 - pregão de sexta-feira, 28 de fevereiro http://t.co/fZ3wAPf7An",0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,1.0,3
3,441030534467055617l,"Em a #PETR4 fizemos em a sexta passada uma Sub Onda 5 de fundo e em o dia 05/02/14uma Onda 3 de fundo alvos 15,44 16,40 http://t.co/5DPBQCulWr",-2,-2,-1,-1,0,0,-2,-2,-1,0.333,0.667,0.667,0.333,3
4,441032165967814656l,@PaiRico @frfontanella @eddu56 @TiagoBDS Acabei de fazer análise da sua #petr4 . Abraços !,0,0,0,0,0,0,0,0,1,0.667,0.667,1.0,1.0,3
5,441039322330849281l,"Na #VALE5 temos sub Onda 5 na min de sexta passada , alvos 30,00 e 31,30 e 33,00 , abaixo de 28,70 alvo 26,90 http://t.co/ebM4xZbPAN",-2,-2,0,0,-2,-2,0,0,-1,0.333,0.667,0.333,0.667,3
6,441058259676303361l,"Fevereiro 2014: Ainda não é o momento de entrar: VALE5, CSNA3 ou PETR4. Tendência e resultados favoráveis: ESTC3, PSSA3, EMBR3 e WEGE3.",0,0,0,0,1,0,0,0,0,0.667,0.667,0.667,1.0,3
7,441059154015162368l,"@Jgrafista11  Se puder, faça o BBAS3, valeu  !",1,0,0,0,1,0,0,0,0,0.667,0.667,0.667,1.0,3
8,441060770843852800l,"Ouro: AEDU3 Fusão só depende do CADE em jun/14 1 AEDU = 0,4548 KROT 43,70 * 0,4548 = 19,87 19,87 / 13,13 = 51% 51% de espaço pra altas!!",-2,-2,1,0,1,0,-2,-2,-1,0.333,0.667,0.667,0.333,3
9,441062415631798272l,"#BBAS3 fêz Onda 3 de fundo dia 19/02 e tem alvo de Onda 4 entre 21,00 e 22,10 , sup em 19,30 e 18,00 http://t.co/6xvCwDA8aM",1,0,1,0,1,0,0,0,0,0.667,0.667,1.0,1.0,3
10,441069121468653568l,#cmig4 Pelo o que vi segunda e terça cmig está inclinada para alta.,0,0,0,0,1,0,0,0,0,1.0,0.667,0.667,1.0,3
