,tweet_ids,text_x,TRU,DIS,JOY,SAD,ANT,SUR,ANG,FEA,NEUTRAL,conf_tru_dis,conf_joy_sad,conf_ant_sur,conf_ang_fea,num_annot
0,441058259676303361l,"Fevereiro 2014: Ainda não é o momento de entrar: VALE5, CSNA3 ou PETR4. Tendência e resultados favoráveis: ESTC3, PSSA3, EMBR3 e WEGE3.",0,0,0,0,1,0,0,0,0,0.667,0.667,0.667,1.0,3
1,441060770843852800l,"Ouro: AEDU3 Fusão só depende do CADE em jun/14 1 AEDU = 0,4548 KROT 43,70 * 0,4548 = 19,87 19,87 / 13,13 = 51% 51% de espaço pra altas!!",-2,-2,1,0,1,0,-2,-2,-1,0.333,0.667,0.667,0.333,3
2,441195166905290753l,"Papeis que negociaram mais taxas #KROT3, #OIBR4, #RENT3, #BRSR6 Intrusos são o primeiro e último. Olho neles! @ferrisss @dfittarelli",-2,-2,-1,-1,1,0,-2,-2,-1,0.333,0.667,0.667,0.333,3
3,441209778648653824l,$PETR3 - Petrobras (petr) -candidatos Indicados Pelo Acionista Controlador Para O Ca E Cf http://t.co/D7kOIsDzeZ,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,1.0,3
4,441215300357586944l,$PETR3 - Petrobras ( petr ) - Candidatos Ind. Por os Acionistas Nao Controladores P . Ca E Cf http://t.co/3ikzgdwt6j,0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,0.667,3
5,441216198681055232l,$PETR3 - Petrobras (petr) - Candidatos Indicados Pelo Acionista Nao Controlador Para O Ca http://t.co/0UddVivQ3V,0,0,0,0,0,0,0,0,1,1.0,1.0,0.667,1.0,3
6,441221519025262592l,"Projeção para o preço de abertura da #VALE5 em função da arbitragem da ADR e do dolar deste momento: R$ 28,78",0,0,0,0,1,0,0,0,0,0.667,1.0,0.667,1.0,3
7,441222037189562368l,HSBC mostra como ganhar dinheiro na Bolsa com os riscos de 'apagão' no Brasil: Quem pensa qu... http://t.co/3gDnlmElHF #infomoney #vale5,0,0,-1,-1,-2,-2,-2,-2,-1,0.667,0.667,0.333,0.333,3
8,441232296549814272l,#VALE5 suportes e resistências http://t.co/c8OrWXrECN,0,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.333,0.667,3
9,441232632815558656l,#ITUB4 suportes e resistências http://t.co/OAX2wE9OaR,0,0,0,0,0,0,0,0,1,1.0,1.0,0.667,1.0,3
10,441232913498386433l,#BBDC4 suportes e resistências http://t.co/B6q9STwuQD,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,1.0,3
11,441233076748681216l,"' Salvação ' de a OGX e OSX pode estar a a caminho , mais 5 empresas estão em o radar : Nível de o reser ... http://t.co/WYotABlDa5 #infomoney#vale5",0,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.0,1.0,3
12,441233204976971778l,"@FernandoGoes1 #PETR4 Se não fossem as vendas de ativos e alguns acertos contábeis o resultado seria R$ 2,2 bilhões http://t.co/1ekfbHY1rq",0,1,0,1,-2,-2,-2,-2,-1,0.667,0.667,0.0,0.0,3
13,441233917132025856l,#BRFS3 Nos EUA rompeu resistência http://t.co/BEDWiwYfXR,0,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.333,0.667,3
14,441235701271912448l,$BRFS3 - Brf Sa (brfs) - Renuncia E Eleicao De Membros Do C.a. http://t.co/f41iizYOak,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,0.667,3
15,441236209134993410l,$MRFG3 - Marfrig (mrfg-nm)-encerramento Prazo De Preferencia /inicio De o Periodo De Sobras http://t.co/tWzEE1HdrT,0,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.333,0.667,3
16,441251369304227840l,MRVE3 vender a R$ 7.99 indicado em 05/03/2014 13:29 e finalizou a compra com resultado de R$ -0.11 ou -1.36 % http://t.co/kgt1YiTbF7,-2,-2,0,0,1,0,0,0,-1,0.333,0.667,0.667,0.667,3
17,441252640320933889l,"Ação ex-dividendos hoje: CSNA3, ITSA3, ITSA4, ITUB3 e ITUB4. As cotações históricas foram ajustadas. Saiba mais! http://t.co/C7k4DuDID2",1,0,1,0,1,0,0,0,0,0.667,0.667,0.667,1.0,3
18,441261378905841665l,PDGR3 vender a R$ 1.47 indicado em 05/03/2014 14:18 e finalizou a compra com resultado de R$ -0.09 ou -5.77 % http://t.co/kgt1YiTbF7,0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,0.667,3
19,441270974122827776l,JBSS3 vender a R$ 7.39 indicado em 05/03/2014 14:56 e finalizou a compra com resultado de R$ -0.30 ou -3.90 % http://t.co/kgt1YiTbF7,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,1.0,3
20,441274491155787776l,$BRFS3 - Brf Sa (brfs-nm) - Renuncia E Eleicao De Membros Do C.a. (complemento) http://t.co/0uRQWZmhv5,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,1.0,3
21,441275601010577410l,@CaciqueInvest E #brfs3 então...vc já deu uma olhada?,0,0,0,0,0,0,0,0,1,1.0,1.0,0.667,0.667,3
22,441294832774836224l,"Corretora indica compra de Vale, Cielo e mais 8 ações, confira: Permanecem entre as recomend... http://t.co/tveDkCIOc0 #infomoney #vale5",-2,-2,-2,-2,-2,-2,0,0,-1,0.333,0.333,0.333,0.667,3
23,441298264323657728l,"@Live_Trade nas suas projeções, CSNA3 mergulha até que faixa de preço?",0,1,0,0,-2,-2,0,0,-1,0.667,0.667,0.333,0.667,3
24,441299470852976640l,"#BR #BOVESPA #BRPR3 BR Properties anuncia venda de R$ 3,18 bilhões em imóveis. http://t.co/ip3sXYLaXA  #IBOV - 0,93% aos 46.654 pontos.",1,0,1,0,0,1,0,0,0,0.5,0.5,0.75,0.75,4
25,441307148849405952l,"05/03/14- 17:20 : Maiores Baixas : BRAP4 - 4,50 % R$ 20,35 , RSID3 - 4,09 % R$ 1,64 , VALE5 - 3,50 % R$ 28,07 , CSNA3 - 3,40 % R$ 9,60 , BRKM5 - 3,28 % R$ 15,62 .",-2,-2,0,0,0,0,0,1,-1,0.0,0.667,0.667,0.667,3
